p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Cell_type,GENE
4.77224082209739e-13,-0.49216978708715,0.337,0.448,1.00369768970352e-08,Neurons,Arid1b
1.92139499297384e-12,0.446821222882095,0.458,0.349,4.04107794922259e-08,Neurons,Gm6133
6.58854836940233e-12,0.38218851692503,0.603,0.508,1.3857034930527e-07,Neurons,Tmsb10
9.96675558691472e-12,-0.498595232678939,0.306,0.306,2.0962080350399e-07,Neurons,Ndfip1
1.01866084331758e-11,-0.353926773429871,0.605,0.664,2.14244748566554e-07,Neurons,Tuba1c
1.44345854152928e-11,0.370260770379323,0.128,0.054,3.03588200454438e-07,Neurons,Paxbp1
3.56613935973489e-11,-0.461868123713677,0.519,0.604,7.50030430139443e-07,Neurons,mt-Rnr1
3.72230276407669e-11,0.475767996127361,0.265,0.167,7.8287471734061e-07,Neurons,Ctla4
3.8041237024089e-11,-0.334038070924131,0.837,0.863,8.0008329709064e-07,Neurons,mt-Nd5
7.2866560328197e-11,0.396298809251137,0.478,0.369,1.53252949682264e-06,Neurons,Gm10073
1.17694473698777e-10,0.429187270228717,0.374,0.267,2.47535017083268e-06,Neurons,Gm11077
2.21057057092656e-10,0.343023109356078,0.64,0.539,4.64927202477274e-06,Neurons,Gas5
5.33040530225948e-10,0.395837540755596,0.468,0.372,1.12109084317121e-05,Neurons,Pkhd1
6.66773848591561e-10,0.355095636824875,0.582,0.499,1.40235875835777e-05,Neurons,Gadl1
7.26585143439906e-10,0.300176199666362,0.703,0.61,1.52815387368281e-05,Neurons,Srrm2
1.15256357499799e-09,0.364437033949052,0.381,0.278,2.42407171093577e-05,Neurons,Arglu1
1.20050569469741e-09,-0.427048786177654,0.157,0.242,2.52490357708758e-05,Neurons,Zfp708
1.49969796417881e-09,-0.384926237336986,0.494,0.578,3.15416475826088e-05,Neurons,D4Wsu53e
1.53870936385529e-09,-0.470782072933853,0.219,0.314,3.23621353406044e-05,Neurons,Gm4076
1.6844437493408e-09,0.345667962372769,0.693,0.586,3.54272209361358e-05,Neurons,Tmsb4x
2.25725966225973e-09,0.312795722344781,0.577,0.486,4.74746852166467e-05,Neurons,Abr
3.04688227000843e-09,0.3045869214815,0.476,0.373,6.40820279028173e-05,Neurons,Nudcd3
3.06325008120353e-09,0.336666893840802,0.474,0.363,6.44262757078726e-05,Neurons,Basp1
1.04274381750401e-08,0.152399282567778,0.98,0.964,0.000219309879697443,Neurons,Snhg11
1.12411501846069e-08,-0.365432596879735,0.548,0.609,0.000236423870682653,Neurons,Stmn1
3.07400902332352e-08,0.293094429219528,0.481,0.388,0.000646525577785404,Neurons,Mgat5
4.41705347377951e-08,0.335768746817141,0.427,0.341,0.000928994686605306,Neurons,Tnpo1
4.54860179663149e-08,0.326713331751212,0.125,0.064,0.000956661929867535,Neurons,Hspa1a
4.71806147414787e-08,0.318212741623829,0.543,0.466,0.000992302689242779,Neurons,Slc24a3
4.93668507814404e-08,0.29442223495842,0.645,0.564,0.00103828360563525,Neurons,Gm5148
5.0430080867304e-08,0.364886175004136,0.33,0.237,0.00106064546080114,Neurons,Jund
5.28311394107568e-08,0.238649148114462,0.761,0.703,0.00111114452408704,Neurons,Rps27
5.2905838170208e-08,0.271905778159396,0.665,0.589,0.00111271558839581,Neurons,Gm9843
5.74089956283768e-08,0.3233490144918,0.312,0.222,0.00120742599605602,Neurons,Wdr66
1.42803388414104e-07,0.247601645657786,0.57,0.479,0.00300344086512544,Neurons,Wdr26
1.54931401462968e-07,-0.383725089465062,0.106,0.17,0.00325851723556914,Neurons,Tubb4b-ps1
1.86701211977989e-07,-0.359595372626541,0.083,0.141,0.00392669989032107,Neurons,Gm23812
