"Rank","County","Population","Per10K"
1,"Los Angeles",10081570,1008.157
2,"San Diego",3316073,331.6073
3,"Orange",3168044,316.8044
4,"Riverside",2411439,241.1439
5,"San Bernardino",2149031,214.9031
6,"Santa Clara",1927470,192.747
7,"Alameda",1656754,165.6754
8,"Sacramento",1524553,152.4553
9,"Contra Costa",1142251,114.2251
10,"Fresno",984521,98.4521
11,"Kern",887641,88.7641
12,"San Francisco",874961,87.4961
13,"Ventura",847263,84.7263
14,"San Mateo",767423,76.7423
15,"San Joaquin",742603,74.2603
16,"Stanislaus",543194,54.3194
17,"Sonoma",499772,49.9772
18,"Tulare",461898,46.1898
19,"Santa Barbara",444829,44.4829
20,"Solano",441829,44.1829
21,"Monterey",433410,43.341
22,"Placer",385512,38.5512
23,"San Luis Obispo",282165,28.2165
24,"Santa Cruz",273962,27.3962
25,"Merced",271382,27.1382
26,"Marin",259943,25.9943
27,"Butte",225817,22.5817
28,"Yolo",217352,21.7352
29,"El Dorado",188563,18.8563
30,"Imperial",180701,18.0701
31,"Shasta",179212,17.9212
32,"Madera",155433,15.5433
33,"Kings",150691,15.0691
34,"Napa",139623,13.9623
35,"Humboldt",135940,13.594
36,"Nevada",99244,9.9244
37,"Sutter",96109,9.6109
38,"Mendocino",87224,8.7224
39,"Yuba",76360,7.636
40,"Lake",64195,6.4195
41,"Tehama",63912,6.3912
42,"San Benito",60376,6.0376
43,"Tuolumne",54045,5.4045
44,"Calaveras",45514,4.5514
45,"Siskiyou",43468,4.3468
46,"Amador",38429,3.8429
47,"Lassen",30818,3.0818
48,"Glenn",27976,2.7976
49,"Del Norte",27495,2.7495
50,"Colusa",21454,2.1454
51,"Plumas",18660,1.866
52,"Inyo",17977,1.7977
53,"Mariposa",17420,1.742
54,"Mono",14310,1.431
55,"Trinity",12700,1.27
56,"Modoc",8907,0.8907
57,"Sierra",3040,0.304
58,"Alpine",1039,0.1039
